% Model,焚烧炉-稳态-固体和流体传热，湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 29 2026, 04:45"
% Table,表格 26 - 面标准差 1
% rd,w_b,温度 (K)
0.5,0,68.62761234003732
0.5,10,65.1863167442588
0.5,20,61.019296818687984
0.5,30,55.83907691515096
0.5,40,49.21983021385558
0.5,50,40.47188324909795
1,0,43.960609204756715
1,10,41.79734379713578
1,20,39.14869558549565
1,30,35.8525042824167
1,40,31.62877747964677
1,50,26.004811968260945
1.5,0,32.376493814548866
1.5,10,30.684315748807258
1.5,20,28.685963961813293
1.5,30,26.17174035836145
1.5,40,23.015411858831644
1.5,50,18.77843503131555
2,0,24.897642678855522
2,10,23.571905287162746
2,20,21.979932897266707
2,30,20.01846496673015
2,40,17.465626052695942
2,50,14.170122434701371
2.5,0,19.98927312064181
2.5,10,18.906115686584975
2.5,20,17.54546998716487
2.5,30,15.939070645205373
2.5,40,13.85451274017134
2.5,50,11.1909190703559
3,0,16.38800252834911
3,10,15.46915230964105
3,20,14.40389782825754
3,30,13.011826534014224
3,40,11.28890847858835
3,50,9.114628836355484
3.5,0,13.7589948842409
3.5,10,12.975194735813885
3.5,20,12.05961129750255
3.5,30,10.883729875525718
3.5,40,9.478050529926506
3.5,50,7.59739465529196
